name,gender,species,year,county,count
ADRIANNA,F,human,2012,Queens,13
ADRIANNA,F,human,2013,Bronx,12
ADRIANNA,F,human,2013,Kings,13
ADRIANNA,F,human,2013,Queens,10
ADRIANNA,F,human,2014,Bronx,13
ADRIANNA,F,human,2014,Kings,11
ADRIANNA,F,human,2014,Queens,15
ADRIANNA,F,human,2015,Queens,13
ADRIEL,M,human,2008,Bronx,13
ADRIEL,M,human,2010,Bronx,11
ADRIEL,M,human,2011,Bronx,13
ADRIEL,M,human,2011,Kings,15
ADRIEL,M,human,2012,Bronx,14
ADRIEL,M,human,2013,Bronx,10
ADRIEL,M,human,2014,Bronx,14
ADRIEL,M,human,2014,New York,8
ADRIEL,M,human,2014,Queens,9
ADRIEL,M,human,2015,Bronx,23
ADRIEN,M,human,2014,Bronx,7
ADYAN,M,human,2013,Queens,10
ADYAN,M,human,2014,Kings,6
ADYAN,M,human,2014,Queens,10
AGNES,F,human,2014,Kings,5
AGNES,F,human,2014,New York,5
AHARON,M,human,2009,Kings,16
AHARON,M,human,2010,Kings,12
AHARON,M,human,2011,Kings,13
AHARON,M,human,2013,Kings,12
AHARON,M,human,2014,Kings,20
AHARON,M,human,2015,Kings,15
AHMAD,M,human,2008,Kings,11
AHMAD,M,human,2009,Kings,12
AHMAD,M,human,2012,Kings,12
AHMAD,M,human,2012,Queens,10
AHMAD,M,human,2013,Kings,10
AHMAD,M,human,2014,Bronx,8
AHMAD,M,human,2014,Kings,8
AHMAD,M,human,2015,Kings,15
AHMED,M,human,2007,Kings,10
AHMED,M,human,2007,Queens,12
AHMED,M,human,2008,Bronx,11
AHMED,M,human,2008,Kings,20
AHMED,M,human,2008,Queens,10
AHMED,M,human,2009,Kings,19
AHMED,M,human,2009,Queens,12
AHMED,M,human,2010,Kings,23
AHMED,M,human,2010,Queens,12
AHMED,M,human,2011,Kings,26
AHMED,M,human,2011,Queens,19
AHMED,M,human,2012,Kings,30
AHMED,M,human,2012,Queens,13
AHMED,M,human,2013,Kings,23
AHMED,M,human,2013,Queens,22
AHMED,M,human,2014,Bronx,9
AHMED,M,human,2014,Kings,20
AHMED,M,human,2014,New York,7
AHMED,M,human,2014,Queens,15
AHMED,M,human,2015,Bronx,15
AHMED,M,human,2015,Kings,22
AHMED,M,human,2015,Queens,13
AHNAF,M,human,2014,Queens,7
AHRON,M,human,2011,Kings,14
AHRON,M,human,2012,Kings,10
AHRON,M,human,2015,Kings,10
AHUVA,F,human,2008,Kings,12
AHUVA,F,human,2009,Kings,10
AHUVA,F,human,2010,Kings,18
AHUVA,F,human,2010,Queens,10
AHUVA,F,human,2013,Kings,12
AHUVA,F,human,2013,Queens,10
AHUVA,F,human,2014,Kings,17
AHUVA,F,human,2014,Queens,5
AICHA,F,human,2011,Bronx,12
AICHA,F,human,2014,Bronx,14
AICHA,F,human,2014,Kings,5
AIDA,F,human,2014,Kings,5
AIDAN,M,human,2007,Bronx,25
AIDAN,M,human,2007,Kings,52
AIDAN,M,human,2007,New York,52
AIDAN,M,human,2007,Queens,47
AIDAN,M,human,2007,Richmond,11
AIDAN,M,human,2008,Bronx,36
AIDAN,M,human,2008,Kings,48
AIDAN,M,human,2008,New York,33
AIDAN,M,human,2008,Queens,62
AIDAN,M,human,2008,Richmond,23
AIDAN,M,human,2009,Bronx,32
AIDAN,M,human,2009,Kings,41
AIDAN,M,human,2009,New York,46
AIDAN,M,human,2009,Queens,52
AIDAN,M,human,2009,Richmond,17
AIDAN,M,human,2010,Bronx,24
AIDAN,M,human,2010,Kings,39
AIDAN,M,human,2010,New York,18
AIDAN,M,human,2010,Queens,56
AIDAN,M,human,2011,Bronx,23
AIDAN,M,human,2011,Kings,41
AIDAN,M,human,2011,New York,27
AIDAN,M,human,2011,Queens,50
AIDAN,M,human,2012,Kings,28
AIDAN,M,human,2012,New York,21
AIDAN,M,human,2012,Queens,42
AIDAN,M,human,2013,Bronx,23
AIDAN,M,human,2013,Kings,23
AIDAN,M,human,2013,New York,18
AIDAN,M,human,2013,Queens,46
AIDAN,M,human,2013,Richmond,10
AIDAN,M,human,2014,Bronx,10
AIDAN,M,human,2014,Kings,26
AIDAN,M,human,2014,New York,13
AIDAN,M,human,2014,Queens,29
AIDAN,M,human,2015,Kings,19
